序号,日期,开赛时间,比赛ID,赛事,比赛,比赛分类,微观板块,盘口意图标签,盘口档位,正向水位,反向水位,已结算
169,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062777-盘口快照-不形成模拟,英联杯,斯托克城 vs 赫尔城,国内杯赛,欧洲五大,真实示弱/阻下,平手,1.0200,0.8000,是
171,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062780-盘口快照-不形成模拟,英联杯,沃特福德 vs 彼得堡联,国内杯赛,欧洲五大,诱下/上盘降温,一球,1.0100,0.8100,是
173,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3062793-盘口快照-不形成模拟,巴西杯,克鲁塞罗 vs 米内罗竞技,国内杯赛,拉美,阻上/降温保护,半球,,,否
174,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3063448-盘口快照-不形成模拟,解放者杯,山谷独立 vs 托利马体育,洲际杯赛,拉美,阻上/诱下,一球,1.0100,0.8800,是
175,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3063937-盘口快照-不形成模拟,澳足总,昆士兰狮队 vs 北鹰阳光,国内杯赛,其他,阻上/诱下,球半/两球,1.0000,0.8200,是
176,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3064424-盘口快照-不形成模拟,中北美杯,蒙特雷 vs 芝加哥火焰,国家队正式赛,其他,阻上/降温保护,平手/半球,,,否
181,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3068760-盘口快照-不形成模拟,捷克杯,索史尔扎普 vs 波希米亚1905,国内杯赛,欧洲非五大,诱下/上盘降温,球半,0.9400,0.8200,是
182,2026-08-25,2026-08-25 00:00:00,20260825-TITAN-3068768-盘口快照-不形成模拟,捷克杯,FK霍尼红冰 vs 杜库拉,国内杯赛,欧洲非五大,诱下/上盘降温,两球,0.9600,0.8000,是
185,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2913114-盘口快照-不形成模拟,挪甲,阿萨纳 vs 利恩,成年联赛T2,欧洲非五大,诱上/阻下,平手/半球,1.0100,0.7500,是
186,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2913115-盘口快照-不形成模拟,挪甲,海于格松 vs 埃格尔森德,成年联赛T2,欧洲非五大,诱上/阻下,一球,0.9500,0.8100,是
187,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2913116-盘口快照-不形成模拟,挪甲,莫斯 vs 松达尔,成年联赛T2,欧洲非五大,诱上/阻下,平手,1.0800,0.6800,是
188,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2913117-盘口快照-不形成模拟,挪甲,奥德 vs 康斯文格,成年联赛T2,欧洲非五大,诱上/阻下,平手,1.0600,0.7000,是
189,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2913119-盘口快照-不形成模拟,挪甲,斯塔贝克 vs 兰黑姆,成年联赛T2,欧洲非五大,诱下/上盘降温,球半,0.9700,0.7900,是
191,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2913121-盘口快照-不形成模拟,挪甲,斯托姆加斯特 vs 禾特,成年联赛T2,欧洲非五大,诱上/阻下,球半/两球,1.0600,0.7000,是
192,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2916460-赛况更新-不新建赛前模拟,阿乙,圣胡安圣马丁 vs 新芝加哥,成年联赛T2,拉美,降温保护/诱下,平手/半球,1.0000,0.8200,是
193,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2916519-盘口快照-不形成模拟,阿乙,阿卡苏索 vs 圣德尔模,成年联赛T2,拉美,诱上/阻下,平手/半球,0.9300,0.8300,是
194,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2916523-盘口快照-不形成模拟,阿乙,北索尔塔中央 vs 玛伦,成年联赛T2,拉美,诱上/阻下,平手,0.9600,0.8000,是
195,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2916525-盘口快照-不形成模拟,阿乙,查克佛伊维 vs 圣米格尔,成年联赛T2,拉美,诱上/阻下,平手/半球,0.9800,0.7800,是
196,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2916533-盘口快照-不形成模拟,阿乙,帕特罗纳图 vs 阿特兰大竞技,成年联赛T2,拉美,诱下/上盘降温,平手/半球,0.9300,0.8300,是
202,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2933127-盘口快照-不形成模拟,乌兹超,马沙尔 vs 纳曼干新春,成年联赛T1,海湾,诱下/上盘降温,球半,0.9900,0.7700,是
204,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2934762-盘口快照-不形成模拟,阿乙曼特秋,梅洛 vs 多科苏德体育会,成年联赛T2,拉美,诱上/阻下,平手,0.9800,0.7200,是
205,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2934763-盘口快照-不形成模拟,阿乙曼特秋,卡米尼罗斯 vs BsAs交流会,成年联赛T2,拉美,诱下/上盘降温,半球,1.0000,0.7000,是
206,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2934765-盘口快照-不形成模拟,阿乙曼特秋,利涅尔斯 vs 阿梅尼奥,成年联赛T2,拉美,诱上/阻下,平手,0.8600,0.8400,是
208,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2942580-盘口快照-不形成模拟,美冠联,新墨西哥联 vs 列克星敦,成年联赛T2,北美,诱上/阻下,平手,0.9800,0.8400,是
209,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2999359-赛况更新-不新建赛前模拟,中美俱杯,肯塔吉内斯 vs CD法斯,国内杯赛,其他,诱上/阻下,半球/一球,1.0700,0.7500,是
210,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-2999360-赛况更新-不新建赛前模拟,中美俱杯,穆尼斯帕尔 vs 摩塔瓜,国内杯赛,其他,诱上/阻下,平手,1.1400,0.6900,是
211,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3006352-盘口快照-不形成模拟,委内杯,艾尔维吉亚 vs 巴利纳斯竞技,国内杯赛,拉美,诱下/上盘降温,半球,0.9500,0.7500,是
212,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3006364-盘口快照-不形成模拟,委内杯,阿拉瓜 vs 亚拉库雅诺斯,国内杯赛,拉美,诱下/上盘降温,平手/半球,0.9100,0.7900,是
213,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3006365-盘口快照-不形成模拟,委内杯,加拉加斯 vs 巴基西梅托,国内杯赛,拉美,诱下/上盘降温,球半/两球,0.9300,0.7700,是
214,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3006376-盘口快照-不形成模拟,委内杯,祖利亚诺 vs 乌勒纳,国内杯赛,拉美,诱上/阻下,半球,0.9200,0.7800,是
215,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3006377-盘口快照-不形成模拟,委内杯,图积兰奴斯 vs 拉腊体育,国内杯赛,拉美,诱上/阻下,平手,0.9900,0.7100,是
216,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3006388-盘口快照-不形成模拟,委内杯,米纳文 vs 莫纳加斯,国内杯赛,拉美,诱上/阻下,平手/半球,0.9600,0.7400,是
217,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3006389-盘口快照-不形成模拟,委内杯,麦尼拉斯 vs 波多港,国内杯赛,拉美,诱下/上盘降温,平手/半球,0.8700,0.8300,是
218,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3011818-盘口快照-不形成模拟,哥伦甲秋,国民竞技 vs 卡利体育会,成年联赛T1,拉美,诱上/阻下,半球/一球,1.0300,0.7900,是
220,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3011821-赛况更新-不新建赛前模拟,哥伦甲秋,侨卡巴 vs 阿利安萨,成年联赛T1,拉美,阻上/降温保护,平手/半球,,,否
221,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3013649-盘口快照-不形成模拟,西甲,皇家马德里 vs 皇家社会,成年联赛T1,欧洲五大,诱上/阻下,球半,1.0300,0.8500,是
224,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3041162-盘口快照-不形成模拟,南非超,马梅洛迪日落 vs 阿玛祖鲁,未知分类,其他,诱上/阻下,球半,0.9400,0.7600,是
225,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3041163-盘口快照-不形成模拟,南非超,贝联 vs 米尔福德,未知分类,其他,诱下/上盘降温,半球,0.9700,0.7300,是
226,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3041164-盘口快照-不形成模拟,南非超,理查兹湾FC vs 恺撒酋长,未知分类,其他,诱下/上盘降温,半球,0.9500,0.7500,是
229,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3046956-盘口快照-不形成模拟,沙特联,迪雷禾 vs 拉斯永恒,未知分类,海湾,真实示强/阻上,半球/一球,0.9900,0.8300,是
230,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3049627-盘口快照-不形成模拟,南美杯,河床 vs 圣塔菲,洲际杯赛,拉美,阻上/诱下,一球/球半,1.0600,0.7600,是
231,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3059114-盘口快照-不形成模拟,玻利甲,圣安东尼奥布鲁布鲁 vs 最强者,未知分类,拉美,诱上/阻下,平手/半球,0.9600,0.8000,是
232,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3061693-盘口快照-不形成模拟,丹麦杯,法特列斯堡 vs 利恩比,国内杯赛,欧洲非五大,诱下/上盘降温,两球,0.9000,0.8000,是
233,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3061694-盘口快照-不形成模拟,丹麦杯,弗雷德里西亚 vs 欧登塞,国内杯赛,欧洲非五大,诱上/阻下,平手/半球,0.9200,0.7800,是
234,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3061699-盘口快照-不形成模拟,丹麦杯,马利恩尔斯特 vs VSK奥胡斯,国内杯赛,欧洲非五大,诱上/阻下,一球,0.9800,0.7200,是
235,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3062531-盘口快照-不形成模拟,欧冠杯,采列 vs 布拉迪斯拉发,洲际杯赛,欧洲非五大,降温保护/诱下,平手,0.7800,1.1100,是
236,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3062532-盘口快照-不形成模拟,欧冠杯,维京 vs 萨格勒布迪纳摩,洲际杯赛,欧洲非五大,阻上/诱下,平手/半球,1.0600,0.8200,是
237,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3062533-盘口快照-不形成模拟,欧冠杯,AEK雅典 vs 索非亚列夫斯基,洲际杯赛,欧洲非五大,诱上/阻下,一球,1.0600,0.8200,是
240,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3062771-盘口快照-不形成模拟,英联杯,纽卡斯尔联 vs 西布罗姆维奇,国内杯赛,欧洲五大,真实示强/阻上,球半,0.9400,0.8800,是
242,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3062778-盘口快照-不形成模拟,英联杯,托特纳姆热刺 vs 查尔顿,国内杯赛,欧洲五大,阻上/诱下,两球,1.0100,0.8100,是
243,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3062793-赛况更新-不新建赛前模拟,巴西杯,克鲁塞罗 vs 米内罗竞技,国内杯赛,拉美,阻上/降温保护,半球,,,否
246,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3063385-盘口快照-不形成模拟,日皇杯,札幌冈萨多 vs 甲府风林,国内杯赛,东亚,诱下/上盘降温,半球,0.9300,0.8300,是
247,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3063386-盘口快照-不形成模拟,日皇杯,今治 vs 秋田蓝色闪电,国内杯赛,东亚,诱上/阻下,平手,1.0000,0.7600,是
248,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3063388-盘口快照-不形成模拟,日皇杯,磐田喜悦 vs 宫崎棒牛鸟,国内杯赛,东亚,诱上/阻下,平手,0.9700,0.7900,是
250,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3063390-盘口快照-不形成模拟,日皇杯,RB大宫松鼠 vs 八户云罗里,国内杯赛,东亚,诱下/上盘降温,半球/一球,0.9800,0.7800,是
252,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3063392-盘口快照-不形成模拟,日皇杯,仙台维加泰 vs 枥木市FC,国内杯赛,东亚,诱下/上盘降温,半球,0.9500,0.8100,是
253,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3063448-赛况更新-不新建赛前模拟,解放者杯,山谷独立 vs 托利马体育,洲际杯赛,拉美,阻上/诱下,一球/球半,1.1100,0.7900,是
254,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3063935-盘口快照-不形成模拟,澳足总,普雷斯顿莱恩 vs 南墨尔本,国内杯赛,其他,诱上/阻下,平手/半球,1.0300,0.7900,是
255,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3064422-赛况更新-不新建赛前模拟,中北美杯,莱昂 vs 皇家盐湖城,国家队正式赛,其他,真实示弱/阻下,平手,1.0000,0.8800,是
256,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3064423-盘口快照-不形成模拟,中北美杯,托卢卡 vs 奥斯汀FC,国家队正式赛,其他,诱上/阻下,一球,0.9900,0.8300,是
257,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3064424-赛况更新-不新建赛前模拟,中北美杯,蒙特雷 vs 芝加哥火焰,国家队正式赛,其他,降温保护/诱下,平手,0.8200,1.0600,是
258,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3067677-盘口快照-不形成模拟,世俱洲际杯,吉达国民 vs 奥克兰FC,国内杯赛,其他,诱上/阻下,两球,1.1100,0.7200,是
259,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3068742-盘口快照-不形成模拟,欧女杯,切尔西女足 vs 皇家社会女足,国内杯赛,欧洲非五大,诱下/上盘降温,两球,0.9400,0.7600,是
260,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3068743-盘口快照-不形成模拟,欧女杯,沃尔夫斯堡女足 vs 国际米兰女足,国内杯赛,欧洲非五大,诱下/上盘降温,球半,0.9000,0.8000,是
261,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3068744-盘口快照-不形成模拟,欧女杯,布拉格斯巴达女足 vs 塞尔维特女足,国内杯赛,欧洲非五大,诱下/上盘降温,半球,0.9000,0.8000,是
262,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3068745-盘口快照-不形成模拟,欧女杯,法兰克福女足 vs 巴黎圣日耳曼女足,国内杯赛,欧洲非五大,诱下/上盘降温,平手/半球,0.9300,0.7700,是
263,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3068746-盘口快照-不形成模拟,欧女杯,PSV埃因霍温女足 vs 靴尔科治女足,国内杯赛,欧洲非五大,诱上/阻下,半球,0.9000,0.8000,是
264,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3068748-盘口快照-不形成模拟,欧女杯,阿贾克斯女足 vs 皇家马德里女足,国内杯赛,欧洲非五大,诱下/上盘降温,球半,0.9400,0.7600,是
265,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3068749-盘口快照-不形成模拟,欧女杯,圣珀尔滕女足 vs 尤文图斯女足,国内杯赛,欧洲非五大,诱下/上盘降温,两球/两球半,0.9600,0.7400,是
269,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3069087-盘口快照-不形成模拟,日皇杯,名古屋鲸八 vs 鸟取飞翔,国内杯赛,东亚,诱上/阻下,球半/两球,0.9600,0.8000,是
270,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3069088-盘口快照-不形成模拟,日皇杯,广岛三箭 vs 冲绳SV,国内杯赛,东亚,诱上/阻下,两球/两球半,0.9600,0.8000,是
271,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3069089-盘口快照-不形成模拟,日皇杯,德岛漩涡 vs FC德岛,国内杯赛,东亚,诱下/上盘降温,两球半,0.9200,0.8400,是
272,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3069090-盘口快照-不形成模拟,日皇杯,东京绿茵 vs 群马草津温泉,国内杯赛,东亚,诱上/阻下,一球/球半,0.9900,0.7700,是
273,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3069092-盘口快照-不形成模拟,日皇杯,新泻天鹅 vs 鹿儿岛联,国内杯赛,东亚,诱下/上盘降温,半球/一球,0.9800,0.7800,是
274,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3069097-盘口快照-不形成模拟,日皇杯,鹿岛鹿角 vs 铃鹿竞技,国内杯赛,东亚,诱上/阻下,三球,0.9600,0.8000,是
277,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3069107-盘口快照-不形成模拟,日皇杯,长崎成功丸 vs FC爱媛,国内杯赛,东亚,诱下/上盘降温,球半/两球,0.9800,0.7800,是
279,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3071630-盘口快照-不形成模拟,乌拉杯,丹奴比奥 vs 阿特纳斯,国内杯赛,拉美,诱上/阻下,半球,0.8900,0.8100,是
280,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3071637-盘口快照-不形成模拟,乌拉杯,佩莱扎 vs 塞罗拉尔戈,国内杯赛,拉美,诱上/阻下,平手,0.9800,0.7200,是
281,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3071648-盘口快照-不形成模拟,乌拉杯,尤文提度 vs 奥瑞多拉巴斯,国内杯赛,拉美,诱下/上盘降温,半球/一球,0.9300,0.7700,是
282,2026-08-26,2026-08-26 00:00:00,20260826-TITAN-3071654-盘口快照-不形成模拟,乌拉杯,普罗格雷索俱乐部 vs 蒙得维的亚河床,国内杯赛,拉美,诱上/阻下,平手,0.9700,0.7300,是
284,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-2965015-赛况更新-不新建赛前模拟,哈萨克甲,卡拉特B队 vs FK阿雷斯,未知分类,海湾,降温保护/诱下,一球,0.7700,0.9300,是
285,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-2965016-赛况更新-不新建赛前模拟,哈萨克甲,卡斯比阿克套B队 vs 奥杜斯基克,未知分类,海湾,诱上/阻下,平手/半球,0.9600,0.7400,是
286,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-2965019-赛况更新-不新建赛前模拟,哈萨克甲,叶利迈塞米B队 vs 沙克特,未知分类,海湾,降温保护/诱下,平手/半球,2.7000,0.0700,是
287,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-2971071-赛况更新-不新建赛前模拟,乌兹甲,努库斯咸海 vs 卡塔库尔甘,成年联赛T2,海湾,降温保护/诱下,半球,0.8000,1.0200,是
288,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-2971072-盘口快照-不形成模拟,乌兹甲,布哈拉大学 vs 比克波德,成年联赛T2,海湾,降温保护/诱下,一球/球半,0.8300,0.9900,是
289,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-2999329-赛况更新-不新建赛前模拟,中美俱杯,夏拉祖 vs 路斯天使,国内杯赛,其他,阻上/降温保护,平手/半球,,,否
290,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-2999330-赛况更新-不新建赛前模拟,中美俱杯,阿拉胡埃伦斯 vs 阿马多尔广场,国内杯赛,其他,真实示弱/阻下,平手/半球,0.0200,5.0000,是
292,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3004385-盘口快照-不形成模拟,瑞典杯,胡斯华纳 vs 哥德堡盖斯,国内杯赛,欧洲非五大,诱上/阻下,球半/两球,0.9800,0.8400,是
293,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3004386-盘口快照-不形成模拟,瑞典杯,FF林度 vs 马尔默,国内杯赛,欧洲非五大,降温保护/诱下,两球半/三球,0.7200,1.1100,是
294,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3011822-盘口快照-不形成模拟,哥伦甲秋,波哥大国际 vs 帕斯托,成年联赛T1,拉美,真实示强/阻上,半球/一球,0.9400,0.8800,是
295,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3013644-盘口快照-不形成模拟,西甲,巴塞罗那 vs 毕尔巴鄂竞技,成年联赛T1,欧洲五大,真实示强/阻上,球半/两球,0.8700,1.0200,是
297,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3019974-盘口快照-不形成模拟,法丙,卡昂 vs 巴斯蒂亚,成年联赛T3,欧洲五大,诱上/阻下,平手/半球,1.0800,0.7800,是
298,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3037785-盘口快照-不形成模拟,卡塔尔联,加拉法 vs 艾沙姆,成年联赛T1,海湾,诱上/阻下,平手,1.0600,0.7600,是
300,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3059119-盘口快照-不形成模拟,玻利甲,玻利瓦尔 vs 学术DB,未知分类,拉美,降温保护/诱下,两球,1.0200,0.7400,是
301,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3061709-盘口快照-不形成模拟,丹麦杯,瓦埃勒 vs 锡尔克堡,国内杯赛,欧洲非五大,诱上/阻下,平手/半球,1.0400,0.7800,是
302,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3061724-盘口快照-不形成模拟,巴拉杯,瓜伊利纳 vs 奥杜巴雷,国内杯赛,拉美,诱上/阻下,半球,1.0000,0.8200,是
303,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3062766-盘口快照-不形成模拟,英联杯,切尔西 vs 卢顿,国内杯赛,欧洲五大,真实示强/阻上,两球/两球半,0.9900,0.8900,是
305,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064425-赛况更新-不新建赛前模拟,中北美杯,墨西哥美洲 vs 哥伦布机员,国家队正式赛,其他,降温保护/诱下,平手/半球,7.6900,0.0100,是
306,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064807-盘口快照-不形成模拟,欧罗巴杯,阿拉特亚美尼亚 vs 克拉约瓦大学,洲际杯赛,欧洲非五大,真实示强/阻上,半球,0.9200,0.9700,是
307,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064808-盘口快照-不形成模拟,欧罗巴杯,伊比利亚1999 vs 比亚韦斯托克雅盖隆,洲际杯赛,欧洲非五大,降温保护/诱下,平手/半球,1.0400,0.8500,是
308,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064809-盘口快照-不形成模拟,欧罗巴杯,比尔森胜利 vs 贝尔格莱德红星,洲际杯赛,欧洲非五大,诱上/阻下,平手/半球,1.0600,0.8300,是
309,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064810-盘口快照-不形成模拟,欧罗巴杯,萨尔茨堡 vs 米亚尔比,洲际杯赛,欧洲非五大,诱上/阻下,球半/两球,1.0700,0.8200,是
310,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064811-盘口快照-不形成模拟,欧罗巴杯,利勒斯特罗姆 vs 埃格纳蒂亚,洲际杯赛,欧洲非五大,阻上/降温保护,一球/球半,,,否
311,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064812-盘口快照-不形成模拟,欧罗巴杯,奥莫尼亚 vs 圣图尔登,洲际杯赛,欧洲非五大,阻下/上盘保护,平手/半球,0.8700,1.0200,是
312,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064813-盘口快照-不形成模拟,欧罗巴杯,考诺萨基列斯 vs 贝西克塔斯,洲际杯赛,欧洲非五大,阻下/上盘保护,一球/球半,0.8700,1.0200,是
313,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064814-盘口快照-不形成模拟,欧罗巴杯,索非亚中央陆军 vs OFI克里特,洲际杯赛,欧洲非五大,降温保护/诱下,一球,1.0300,0.8600,是
314,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064815-盘口快照-不形成模拟,欧罗巴杯,奥胡斯<font color=#880000>(中)</font> vs 本菲卡,洲际杯赛,欧洲非五大,阻上/诱下,球半,1.0500,0.8400,是
315,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064816-盘口快照-不形成模拟,欧罗巴杯,安德莱赫特 vs 阿拉木图凯拉特,洲际杯赛,欧洲非五大,诱上/阻下,一球/球半,1.0700,0.8200,是
316,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064817-盘口快照-不形成模拟,欧罗巴杯,费伦茨瓦罗斯 vs 特拉布宗体育,洲际杯赛,欧洲非五大,阻上/降温保护,平手/半球,,,否
317,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3064990-盘口快照-不形成模拟,欧罗巴杯,图恩 vs 波兹南莱赫,洲际杯赛,欧洲非五大,降温保护/诱下,平手,0.8500,1.0400,是
318,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3069280-盘口快照-不形成模拟,秘鲁联杯,AD塔尔玛 vs UCV莫克瓜,国内杯赛,拉美,阻上/诱下,一球/球半,1.0700,0.7500,是
319,2026-08-27,2026-08-27 00:00:00,20260827-TITAN-3071655-盘口快照-不形成模拟,乌拉杯,乌拉圭民族 vs 阿尔比恩,国内杯赛,拉美,诱下/上盘降温,半球,0.9200,0.7800,是
322,2026-08-28,2026-08-28 00:00:00,20260828-TITAN-2921226-盘口快照-不形成模拟,智利甲,科布雷索 vs 帕莱斯蒂诺,成年联赛T1,拉美,阻下/上盘保护,平手,0.8600,1.0300,是
324,2026-08-28,2026-08-28 00:00:00,20260828-TITAN-2925519-赛况更新-不新建赛前模拟,韩K2联,全南天龙 vs 天安城,成年联赛T2,东亚,降温保护/诱下,平手,0.8100,1.0100,是
326,2026-08-28,2026-08-28 00:00:00,20260828-TITAN-2931292-盘口快照-不形成模拟,冰岛甲,特罗图尔 vs 艾格尔,成年联赛T2,欧洲非五大,真实示强/阻上,三球,0.9900,0.8500,是
328,2026-08-28,2026-08-28 00:00:00,20260828-TITAN-2937907-盘口快照-不形成模拟,厄瓜甲,穆苏克鲁纳 vs 德芬,成年联赛T1,拉美,阻上/降温保护,一球,,,否
329,2026-08-28,2026-08-28 00:00:00,20260828-TITAN-2940150-盘口快照-不形成模拟,巴西乙,戈伊亚斯 vs 圣贝纳多,成年联赛T2,拉美,阻上/降温保护,半球,,,否
331,2026-08-28,2026-08-28 00:00:00,20260828-TITAN-2944800-赛况更新-不新建赛前模拟,中超,深圳新鹏城 vs 上海海港,成年联赛T1,东亚,真实示弱/阻下,平手/半球,0.9100,0.9500,是
332,2026-08-28,2026-08-28 00:00:00,20260828-TITAN-2944804-赛况更新-不新建赛前模拟,中超,上海申花 vs 山东泰山,成年联赛T1,东亚,真实示强/阻上,一球,0.9400,0.9200,是
333,2026-08-28,2026-08-28 00:00:00,20260828-TITAN-2955341-盘口快照-不形成模拟,美甲,夏洛特独立 vs AV阿尔塔,成年联赛T3,北美,诱下/上盘降温,一球/球半,0.9100,0.7900,是
334,2026-08-28,2026-08-28 00:00:00,20260828-TITAN-2962607-盘口快照-不形成模拟,阿甲,圣塔菲联 vs 萨尔米安杜,成年联赛T1,拉美,阻下/上盘保护,半球,0.8600,1.0300,是
335,2026-08-28,2026-08-28 00:00:00,20260828-TITAN-2965018-赛况更新-不新建赛前模拟,哈萨克甲,塔拉兹 vs 杜保尔B队,未知分类,海湾,降温保护/诱下,半球/一球,0.8100,0.8900,是
336,2026-08-28,2026-08-28 00:00:00,20260828-TITAN-2971073-盘口快照-不形成模拟,乌兹甲,FK加扎尔肯特 vs 费尔干纳大学,成年联赛T2,海湾,降温保护/诱下,平手/半球,0.9500,0.8100,是
337,2026-08-28,2026-08-28 00:00:00,20260828-TITAN-2993765-盘口快照-不形成模拟,意甲,AC米兰 vs 威尼斯,成年联赛T1,欧洲五大,降温保护/诱下,一球,0.7800,1.1200,是
338,2026-08-28,2026-08-28 00:00:00,20260828-TITAN-2995325-盘口快照-不形成模拟,法甲,里尔 vs 巴黎圣日耳曼,成年联赛T1,欧洲五大,诱上/阻下,半球/一球,1.1100,0.7900,是
