date,match,result,pnl,source
2026-08-30,麦德林独立 vs 拉尼洛斯,赛果未匹配待人工核验,不计,missing
2026-08-30,玻利瓦尔 vs 最强者,赛果未匹配待人工核验,不计,missing
2026-08-30,亚松森瓜拉尼 vs 艾美利亚诺体育,赛果未匹配待人工核验,不计,missing
2026-08-30,维拉诺瓦 vs 塞阿拉,赛果未匹配待人工核验,不计,missing
2026-08-30,格雷米奥 vs 沙佩科恩斯,赛果未匹配待人工核验,不计,missing
2026-08-30,米拉索 vs 帕尔梅拉斯,赛果未匹配待人工核验,不计,missing
2026-08-30,库里科 vs 雷科莱塔体育,赛果未匹配待人工核验,不计,missing
2026-08-30,科洛科洛 vs 奥达斯,赛果未匹配待人工核验,不计,missing
2026-08-30,图库曼圣马丁 vs 圭梅斯竞技,赛果未匹配待人工核验,不计,missing
2026-08-30,基尔梅斯 vs CA坦波利,赛果未匹配待人工核验,不计,missing
2026-08-30,阿根廷独立 vs 甘拿斯亚门多萨,赛果未匹配待人工核验,不计,missing
2026-08-30,巴伊亚 vs 巴西国际,赛果未匹配待人工核验,不计,missing
2026-08-30,埃梅莱克 vs 北莱昂内斯,赛果未匹配待人工核验,不计,missing
2026-08-30,圣路易斯城 vs 达拉斯FC,赛果未匹配待人工核验,不计,missing
2026-08-30,百万富翁 vs 波哥大国际,赛果未匹配待人工核验,不计,missing
2026-08-30,布鲁明 vs 奥利恩特,赛果未匹配待人工核验,不计,missing
2026-08-31,洛斯安第斯 vs 阿卡苏索,赛果未匹配待人工核验,不计,missing
2026-08-31,BsAs交流会 vs 梅洛,赛果未匹配待人工核验,不计,missing
2026-08-31,拉普拉塔大学生 vs 纽维尔老男孩,赛果未匹配待人工核验,不计,missing
2026-08-31,防卫者 vs 普拉腾斯,赛果未匹配待人工核验,不计,missing
2026-08-31,拉卡莱拉联 vs 塞雷那,赛果未匹配待人工核验,不计,missing
2026-08-31,福塔雷萨 vs 欧帕尔利奥,赛果未匹配待人工核验,不计,missing
2026-08-31,帕斯托 vs 佩雷拉,赛果未匹配待人工核验,不计,missing
2026-08-31,瑞模贝雷 vs 科里蒂巴,赛果未匹配待人工核验,不计,missing
2026-09-01,哥查瓜 vs 萨拉曼卡,赛果未匹配待人工核验,不计,missing
2026-09-01,隆迪那 vs 尤文图德,赛果未匹配待人工核验,不计,missing
2026-09-01,国防部队 vs 三多俱乐部,赛果未匹配待人工核验,不计,missing
2026-09-01,宾托大学生 vs 欧若拉,赛果未匹配待人工核验,不计,missing
2026-09-01,图尔克 vs 丹奴比奥,赛果未匹配待人工核验,不计,missing
2026-09-05,RKAV华伦丹 vs HSV胡克,赛果未匹配待人工核验,不计,missing
2026-09-05,哈登堡 vs 特莱弗斯,赛果未匹配待人工核验,不计,missing
2026-09-05,格尔德恩 vs 快速男孩,赛果未匹配待人工核验,不计,missing
2026-09-05,里积斯堡男孩 vs AFC阿姆斯特丹,赛果未匹配待人工核验,不计,missing
2026-09-05,FK莫斯特 vs FK霍尼红冰,赛果未匹配待人工核验,不计,missing
2026-09-05,普里布拉姆B队 vs 布咸美恩斯1905B队,赛果未匹配待人工核验,不计,missing
2026-09-05,克卢廷厄 vs 伊素美禾祖斯,赛果未匹配待人工核验,不计,missing
2026-09-05,斯巴肯堡 vs 巴伦查捷特,赛果未匹配待人工核验,不计,missing
2026-09-05,罗达 vs 高沙根男生,赛果未匹配待人工核验,不计,missing
2026-09-05,玛尔克夫 vs 希根足球俱乐部,赛果未匹配待人工核验,不计,missing
2026-09-05,艾格诺尔马卡巴 vs 艾希拉,赛果未匹配待人工核验,不计,missing
2026-09-05,红箭队 vs 伊纳特鲁日,赛果未匹配待人工核验,不计,missing
2026-09-05,乌克瓦 vs 希巴利亚,赛果未匹配待人工核验,不计,missing
2026-09-05,伊卜里 vs 斯莫尔,赛果未匹配待人工核验,不计,missing
2026-09-05,萨汉姆 vs 巴赫拉,赛果未匹配待人工核验,不计,missing
2026-09-05,KFG加达巴尔 vs 奥拉夫斯维克维京,赛果未匹配待人工核验,不计,missing
2026-09-05,富佐尼 vs 图罗杜尔沃尔古,赛果未匹配待人工核验,不计,missing
2026-09-05,白色骑士 vs 科玛库尔,赛果未匹配待人工核验,不计,missing
2026-09-05,豪卡尔 vs 塞尔福斯,赛果未匹配待人工核验,不计,missing
2026-09-05,弗里德克 vs 乌尼邱夫,赛果未匹配待人工核验,不计,missing
2026-09-05,维特科维斯 vs 斯洛瓦科B队,赛果未匹配待人工核验,不计,missing
2026-09-05,荷路比纳 vs 乌赫尔斯基,赛果未匹配待人工核验,不计,missing
2026-09-05,伯利 vs 威森肖FC,赛果未匹配待人工核验,不计,missing
2026-09-05,佳福斯镇AFC vs 曼彻斯特FC,赛果未匹配待人工核验,不计,missing
2026-09-05,克利索普斯城 vs 纽卡斯尔城FC,赛果未匹配待人工核验,不计,missing
2026-09-05,剑桥城 vs 莫尔登蒂普特里,赛果未匹配待人工核验,不计,missing
2026-09-05,哈姆雷特 vs 东格林斯特德镇,赛果未匹配待人工核验,不计,missing
2026-09-05,沃灵顿瑞兰 vs 海德联,赛果未匹配待人工核验,不计,missing
2026-09-05,法弗舍姆镇 vs 威灵,赛果未匹配待人工核验,不计,missing
2026-09-05,班巴布利治 vs 特拉福德,赛果未匹配待人工核验,不计,missing
2026-09-05,艾尔佛莱顿 vs 斯特拉特福镇,赛果未匹配待人工核验,不计,missing
2026-09-05,阿芙罗 vs 威顿,赛果未匹配待人工核验,不计,missing
2026-09-05,安多哈拉诺福齐 vs 利贾巴托,赛果未匹配待人工核验,不计,missing
2026-09-05,雏鹰FC vs 锡达马,赛果未匹配待人工核验,不计,missing
2026-09-05,伊塔尔 vs 索菲亚中央陆军B队,赛果未匹配待人工核验,不计,missing
2026-09-05,多布鲁察 vs 贝尔罗,赛果未匹配待人工核验,不计,missing
2026-09-05,延特拉 vs 马历克,赛果未匹配待人工核验,不计,missing
2026-09-05,弗拉特里亚 vs 布尔加斯1919,弗拉特里亚2-2布尔加斯1919,不计,Titan007快照
2026-09-05,杜国坡吉 vs 扎达拉洛维,赛果未匹配待人工核验,不计,missing
2026-09-05,雷迪塞瓦特 vs 瑟格斯塔,赛果未匹配待人工核验,不计,missing
2026-09-05,格拉茨AK女足 vs LASK林兹女足,赛果未匹配待人工核验,不计,missing
2026-09-05,卡拉路夫 vs 多马日利采,赛果未匹配待人工核验,不计,missing
2026-09-05,摩押俱乐部 vs 艾沙赫,赛果未匹配待人工核验,不计,missing
2026-09-05,射击之星 vs 斯法克斯,赛果未匹配待人工核验,不计,missing
2026-09-05,城市俱乐部 vs 阿联酋伊蒂法格,赛果未匹配待人工核验,不计,missing
2026-09-05,迪拜365 FC vs 哈利亚,赛果未匹配待人工核验,不计,missing
2026-09-05,AS罗马女足 vs 佛罗伦萨女足,赛果未匹配待人工核验,不计,missing
2026-09-05,森索罗女足 vs 特拉纳女足,赛果未匹配待人工核验,不计,missing
2026-09-05,扎克赫 vs 塔拉巴,赛果未匹配待人工核验,不计,missing
2026-09-05,弗查达比德莱克尼尔 vs 达尔维克,赛果未匹配待人工核验,不计,missing
2026-09-05,马格尼 vs 卡里,赛果未匹配待人工核验,不计,missing
2026-09-05,赫拉尼斯 vs 维霍维纳,赛果未匹配待人工核验,不计,missing
2026-09-05,多科苏德体育会 vs BsAs交流会,多科苏德体育会0-1BsAs交流会,不计,Titan007快照
2026-09-05,圣佩德罗FC vs 流浪联,赛果未匹配待人工核验,不计,missing
2026-09-05,毒蛇 vs 努瓦迪布,赛果未匹配待人工核验,不计,missing
2026-09-05,大学俱乐部 vs 卡布斯科普,赛果未匹配待人工核验,不计,missing
2026-09-05,马加拉内斯 vs 圣菲利浦联,赛果未匹配待人工核验,不计,missing
2026-09-05,乌德勒支 vs 前进之鹰,赛果未匹配待人工核验,不计,missing
2026-09-05,贝亚维斯塔 vs 拉科蒂沃,赛果未匹配待人工核验,不计,missing
2026-09-05,哈博罗内 vs 非洲年轻人,赛果未匹配待人工核验,不计,missing
2026-09-05,阿尔马里克 vs 动力迪纳摩,赛果未匹配待人工核验,不计,missing
2026-09-05,圣吉罗斯联B队 vs 哈巴拉纽威,赛果未匹配待人工核验,不计,missing
2026-09-05,迪塞尔 vs 霍格斯特拉腾,赛果未匹配待人工核验,不计,missing
2026-09-05,切里托 vs FC派桑杜,赛果未匹配待人工核验,不计,missing
2026-09-05,阿尔米纳 vs 纳弗特,赛果未匹配待人工核验,不计,missing
2026-09-05,积安维尔 vs 布鲁门奥EC,赛果未匹配待人工核验,不计,missing
2026-09-05,费古埃伦斯 vs 巴拉FC,赛果未匹配待人工核验,不计,missing
2026-09-05,EC圣贝拿度 vs 商业足球会,赛果未匹配待人工核验,不计,missing
2026-09-05,曼德尔联合 vs 利尔斯贝尔拉尔,赛果未匹配待人工核验,不计,missing
2026-09-05,海斯特 vs 哈里本克,赛果未匹配待人工核验,不计,missing
2026-09-05,特汉斯 vs 皇家克诺克,赛果未匹配待人工核验,不计,missing
2026-09-05,蒂比兹 vs 罗什福尔,赛果未匹配待人工核验,不计,missing
2026-09-05,蒙斯 vs ROC沙勒罗瓦,赛果未匹配待人工核验,不计,missing
2026-09-05,戈塔维京人 vs 克拉克斯维克,赛果未匹配待人工核验,不计,missing
2026-09-05,圣马丁布萨科 vs 阿梅尼奥,赛果未匹配待人工核验,不计,missing
2026-09-05,意大利亚诺 vs 弗朗德里亚,赛果未匹配待人工核验,不计,missing
2026-09-05,皇家皮拉尔 vs 埃斯卡拉达,赛果未匹配待人工核验,不计,missing
2026-09-05,维拉多尔米尼 vs 萨兰迪兵工厂,赛果未匹配待人工核验,不计,missing
2026-09-05,非洲人 vs 佐里巴,赛果未匹配待人工核验,不计,missing
2026-09-05,巴拉纳 vs 卡斯卡韦尔,赛果未匹配待人工核验,不计,missing
2026-09-05,圣塔克鲁兹 vs 西班牙联合,赛果未匹配待人工核验,不计,missing
2026-09-05,库佩拉蒂瓦 vs 拉巴斯独立竞技,赛果未匹配待人工核验,不计,missing
2026-09-05,苏克雷竞技 vs 拉科鲁尼亚法蒂克,赛果未匹配待人工核验,不计,missing
2026-09-05,圣地亚哥城 vs 康康民族,赛果未匹配待人工核验,不计,missing
2026-09-05,塔里贾联合会 vs 圣克鲁斯纽瓦,赛果未匹配待人工核验,不计,missing
2026-09-05,皮马维拉 vs 圣卡埃塔诺,赛果未匹配待人工核验,不计,missing
2026-09-05,利纳雷斯 vs 哥查瓜,赛果未匹配待人工核验,不计,missing
2026-09-05,坎尔托塔 vs 科布雷洛,赛果未匹配待人工核验,不计,missing
2026-09-05,梅洛 vs 联合防卫队,赛果未匹配待人工核验,不计,missing
2026-09-05,迈阿密FC vs 匹兹堡猎犬河队,迈阿密FC2-2匹兹堡猎犬河队,不计,Titan007快照
2026-09-05,查塔努加红狼 vs 格林维勒凯旋,赛果未匹配待人工核验,不计,missing
2026-09-05,坦帕湾 vs 布鲁克林,赛果未匹配待人工核验,不计,missing
2026-09-05,罗德岛 vs 路易斯维尔FC,赛果未匹配待人工核验,不计,missing
2026-09-05,萨拉索塔天堂 vs 斯波坎速度,赛果未匹配待人工核验,不计,missing
2026-09-05,韦恩堡FC vs 纽约宇宙队,赛果未匹配待人工核验,不计,missing
2026-09-05,哥伦布机员 vs 科罗拉多急流,赛果未匹配待人工核验,不计,missing
2026-09-05,夏洛特FC vs 休斯敦迪纳摩,赛果未匹配待人工核验,不计,missing
2026-09-05,多伦多FC vs 芝加哥火焰,赛果未匹配待人工核验,不计,missing
2026-09-05,奥兰多城 vs 圣地亚哥,赛果未匹配待人工核验,不计,missing
2026-09-05,费城联合 vs CF蒙特利尔,赛果未匹配待人工核验,不计,missing
2026-09-05,辛辛那提 vs 华盛顿联,赛果未匹配待人工核验,不计,missing
2026-09-06,南墨尔本 vs 黑德堡,南墨尔本2-1黑德堡,不计,Titan007快照
2026-09-06,杨平 vs 始兴市民,杨平1-3始兴市民,不计,Titan007快照
2026-09-06,亚布洛内茨B队 vs 利巴域B队,亚布洛内茨B队2-0利巴域B队,不计,Titan007快照
2026-09-06,卡尔维纳B队 vs 赫杜尼,卡尔维纳B队1-0赫杜尼,不计,Titan007快照
2026-09-06,奥林莫斯B队 vs 利森B队,奥林莫斯B队0-2利森B队,不计,Titan007快照
2026-09-06,布尔诺B队 vs 波兰卡,布尔诺B队3-1波兰卡,不计,Titan007快照
2026-09-06,艾德米拉布拉格 vs 皮耳森B队,艾德米拉布拉格0-1皮耳森B队,不计,Titan007快照
2026-09-06,贺拉戴克B队 vs 内拉托维斯,贺拉戴克B队0-0内拉托维斯,不计,Titan007快照
2026-09-06,济斯科夫 vs 普日布拉姆,济斯科夫1-1普日布拉姆,不计,Titan007快照
2026-09-06,辛宁B队 vs 布兰斯科,辛宁B队4-1布兰斯科,不计,Titan007快照
2026-09-06,未来联合 vs 班加比,未来联合1-0班加比,不计,Titan007快照
2026-09-06,班肯梅 vs 华欣城,班肯梅2-2华欣城,不计,Titan007快照
2026-09-06,塔比历斯B队 vs 帕尔杜比斯B队,塔比历斯B队1-1帕尔杜比斯B队,不计,Titan007快照
2026-09-06,熊本深红 vs 奈良俱乐部,熊本深红2-2奈良俱乐部,不计,Titan007快照
2026-09-06,横滨FC vs 新泻天鹅,横滨FC5-0新泻天鹅,不计,Titan007快照
2026-09-06,秋田蓝色闪电 vs RB大宫松鼠,秋田蓝色闪电0-0RB大宫松鼠,不计,Titan007快照
2026-09-06,冈山绿雉 vs 广岛三箭,冈山绿雉3-2广岛三箭,不计,Titan007快照
2026-09-06,千叶市原 vs 大阪钢巴,千叶市原2-0大阪钢巴,不计,Titan007快照
2026-09-06,名古屋鲸八 vs 町田泽维亚,名古屋鲸八1-3町田泽维亚,不计,Titan007快照
2026-09-06,鹿岛鹿角 vs 浦和红钻,鹿岛鹿角0-1浦和红钻,不计,Titan007快照
2026-09-06,抱川FC vs 骊州世宗,抱川FC1-0骊州世宗,不计,Titan007快照
2026-09-06,哈恩 vs 韦斯卡,哈恩2-2韦斯卡,不计,Titan007快照
2026-09-06,基辅迪纳摩 vs LNZ切尔卡斯,基辅迪纳摩0-0LNZ切尔卡斯,不计,Titan007快照
2026-09-06,大分三神 vs 今治,大分三神1-1今治,不计,Titan007快照
2026-09-06,磐田喜悦 vs 富山胜利,磐田喜悦0-1富山胜利,不计,Titan007快照
2026-09-06,大阪樱花 vs 东京绿茵,大阪樱花0-0东京绿茵,不计,Titan007快照
2026-09-06,川崎前锋 vs 清水鼓动,川崎前锋3-1清水鼓动,不计,Titan007快照
2026-09-06,柏太阳神 vs 横滨水手,柏太阳神0-2横滨水手,不计,Titan007快照
2026-09-06,神户胜利船 vs 长崎成功丸,神户胜利船3-1长崎成功丸,不计,Titan007快照
2026-09-06,利卡 vs 化夫,利卡0-3化夫,不计,Titan007快照
2026-09-06,维泽拉 vs 费尔格拉斯,维泽拉1-0费尔格拉斯,不计,Titan007快照
2026-09-06,拉科鲁尼亚B队 vs 卡些连奴,拉科鲁尼亚B队1-1卡些连奴,不计,Titan007快照
2026-09-06,水原三星 vs 忠南牙山,水原三星2-0忠南牙山,不计,Titan007快照
2026-09-06,金浦市民 vs 城南FC,金浦市民1-2城南FC,不计,Titan007快照
2026-09-06,木浦市 vs 春川市民,木浦市0-1春川市民,不计,Titan007快照
2026-09-06,江陵 vs 釜山运输,江陵1-1釜山运输,不计,Titan007快照
2026-09-06,FC安养 vs 江原FC,FC安养0-3江原FC,不计,Titan007快照
2026-09-06,金泉尚武 vs 光州FC,金泉尚武2-2光州FC,不计,Titan007快照
2026-09-06,格罗宁根 vs 特温特,格罗宁根2-2特温特,不计,Titan007快照
2026-09-06,FC科莫女足 vs 科莫女足,FC科莫女足2-1科莫女足,不计,Titan007快照
2026-09-06,尤文图斯女足 vs AC米兰女足,尤文图斯女足1-0AC米兰女足,不计,Titan007快照
2026-09-06,FC东京 vs 京都不死鸟,FC东京2-0京都不死鸟,不计,Titan007快照
2026-09-06,苏州东吴 vs 南京城市,苏州东吴2-0南京城市,不计,Titan007快照
2026-09-06,重庆铜梁龙 vs 上海申花,重庆铜梁龙1-3上海申花,不计,Titan007快照
2026-09-06,齐斯泰兹 vs 尼克宾,齐斯泰兹0-3尼克宾,不计,Titan007快照
2026-09-06,奥胡斯费马 vs 科灵,奥胡斯费马2-1科灵,不计,Titan007快照
2026-09-06,奥伦堡加索维克 vs 阿克伦陶里亚蒂,奥伦堡加索维克2-2阿克伦陶里亚蒂,不计,Titan007快照
2026-09-06,扑斯 vs 特莱弗,扑斯2-3特莱弗,不计,Titan007快照
2026-09-06,格鲁德 vs 拉纳,格鲁德4-2拉纳,不计,Titan007快照
2026-09-06,博雷斯拉夫 vs 俄斯特拉发,博雷斯拉夫4-0俄斯特拉发,不计,Titan007快照
2026-09-06,孔敬FC vs 尤度联,孔敬FC2-1尤度联,不计,Titan007快照
2026-09-06,清迈联 vs 查特拉卡恩,清迈联3-1查特拉卡恩,不计,Titan007快照
2026-09-06,罗伊联 vs 昆肯莫丁丹,罗伊联3-1昆肯莫丁丹,不计,Titan007快照
2026-09-06,伯明翰 vs 狼队,伯明翰2-2狼队,不计,Titan007快照
2026-09-06,广西恒宸 vs 石家庄功夫,广西恒宸0-1石家庄功夫,不计,Titan007快照
2026-09-06,奥斯纳布鲁克 vs 布伦瑞克,奥斯纳布鲁克3-1布伦瑞克,不计,Titan007快照
2026-09-06,柏林赫塔 vs 马格德堡,柏林赫塔2-1马格德堡,不计,Titan007快照
2026-09-06,菲尔特 vs 海登海姆,菲尔特0-1海登海姆,不计,Titan007快照
2026-09-06,色格拉布鲁日 vs 根特,色格拉布鲁日0-3根特,不计,Titan007快照
2026-09-06,拉库尔浪潮 vs 奥兰多海盗,赛果未匹配待人工核验,不计,missing
2026-09-06,云南玉昆 vs 辽宁铁人,云南玉昆5-0辽宁铁人,不计,Titan007快照
2026-09-06,河南队 vs 成都蓉城,河南队0-0成都蓉城,不计,Titan007快照
2026-09-06,天津津门虎 vs 浙江俱乐部绿城,天津津门虎2-1浙江俱乐部绿城,不计,Titan007快照
2026-09-06,桑德捷斯基 vs 霍森斯,桑德捷斯基2-5霍森斯,不计,Titan007快照
2026-09-06,乌拉尔 vs 卡马斯,乌拉尔2-0卡马斯,不计,Titan007快照
2026-09-06,阿勒泰瑟美 vs 卡萨尔,阿勒泰瑟美2-0卡萨尔,不计,Titan007快照
2026-09-06,SK布兰女足 vs 弗特纳女足,SK布兰女足3-1弗特纳女足,不计,Titan007快照
2026-09-06,诺托登 vs 里塞克罗斯特,诺托登3-0里塞克罗斯特,不计,Titan007快照
2026-09-06,奥尔格里特 vs 哈马比,奥尔格里特1-1哈马比,不计,Titan007快照
2026-09-06,伊韦尔东 vs 尼奈斯,伊韦尔东4-1尼奈斯,不计,Titan007快照
2026-09-06,塞尔维特 vs 圣加仑,塞尔维特0-2圣加仑,不计,Titan007快照
2026-09-06,HPS 女足 vs 赫尔辛基女足,HPS 女足1-1赫尔辛基女足,不计,Titan007快照
2026-09-06,伊米耶 vs 比夏奥克兰,伊米耶1-1比夏奥克兰,不计,Titan007快照
2026-09-06,埃瓦尔 vs 格拉纳达,埃瓦尔3-0格拉纳达,不计,Titan007快照
2026-09-06,高玛希亚 vs 金字塔,高玛希亚0-2金字塔,不计,Titan007快照
2026-09-06,维勒斯 vs 柔亚,维勒斯1-1柔亚,不计,Titan007快照
2026-09-06,奥斯泰华B队 vs 哈纳卡,奥斯泰华B队1-1哈纳卡,不计,Titan007快照
2026-09-06,海伦芬 vs 阿尔克马尔,海伦芬2-3阿尔克马尔,不计,Titan007快照
2026-09-06,特尔斯达 vs 坎布尔,特尔斯达2-2坎布尔,不计,Titan007快照
2026-09-06,金箭 vs 马梅洛迪日落,金箭1-2马梅洛迪日落,不计,Titan007快照
2026-09-06,阿斯塔纳 vs 叶利迈塞米,阿斯塔纳4-0叶利迈塞米,不计,Titan007快照
2026-09-06,泰里尼登斯 vs 亚松森奥林匹亚,泰里尼登斯1-2亚松森奥林匹亚,不计,Titan007快照
2026-09-06,佩鲁贾 vs 皮内托,佩鲁贾2-1皮内托,不计,Titan007快照
2026-09-06,吉安纳 vs 多洛米蒂贝卢诺,吉安纳1-2多洛米蒂贝卢诺,不计,Titan007快照
2026-09-06,格罗瑟托 vs 托里斯,格罗瑟托2-0托里斯,不计,Titan007快照
2026-09-06,萨勒尼塔纳 vs 卡维塞,萨勒尼塔纳1-1卡维塞,不计,Titan007快照
2026-09-06,萨比尼迪特斯 vs 斯佩齐亚,萨比尼迪特斯1-2斯佩齐亚,不计,Titan007快照
2026-09-06,阿尔比诺勒菲 vs 卡尔皮,阿尔比诺勒菲0-1卡尔皮,不计,Titan007快照
2026-09-06,切塞纳 vs 曼托瓦,切塞纳1-1曼托瓦,不计,Titan007快照
2026-09-06,史泰比亚 vs 比萨,史泰比亚0-3比萨,不计,Titan007快照
2026-09-06,恩特拉 vs 维琴察,恩特拉2-2维琴察,不计,Titan007快照
2026-09-06,摩德纳 vs 阿维利诺,摩德纳0-1阿维利诺,不计,Titan007快照
2026-09-06,帕尔马 vs 蒙扎,帕尔马1-1蒙扎,不计,Titan007快照
2026-09-06,弗洛西诺尼 vs 威尼斯,弗洛西诺尼3-2威尼斯,不计,Titan007快照
2026-09-06,国际米兰女足 vs 拉素女足,国际米兰女足3-1拉素女足,不计,Titan007快照
2026-09-06,拿玻里女足 vs 帕尔马女足,拿玻里女足1-0帕尔马女足,不计,Titan007快照
2026-09-06,UII奇萨 vs 利云格尔,UII奇萨0-5利云格尔,不计,Titan007快照
2026-09-06,亚布洛内茨 vs 利贝雷茨,亚布洛内茨1-2利贝雷茨,不计,Titan007快照
2026-09-06,兹林 vs 特普利斯,兹林1-3特普利斯,不计,Titan007快照
2026-09-06,安海耶 vs 莫伦贝克,安海耶0-1莫伦贝克,不计,Titan007快照
2026-09-06,斯博文 vs 侯特维尼恩,斯博文3-4侯特维尼恩,不计,Titan007快照
2026-09-06,旧海弗莱鲁汶B队 vs 蒂嫩,旧海弗莱鲁汶B队2-1蒂嫩,不计,Titan007快照
2026-09-06,标准列日B队 vs 梅克斯,标准列日B队0-1梅克斯,不计,Titan007快照
2026-09-06,梅勒尔贝克 vs 色格拉布鲁日B队,梅勒尔贝克3-1色格拉布鲁日B队,不计,Titan007快照
2026-09-06,沙勒罗瓦B队 vs 弗莱尼,沙勒罗瓦B队2-2弗莱尼,不计,Titan007快照
2026-09-06,泽勒特 vs 罗斯勒黛赛尔,泽勒特0-3罗斯勒黛赛尔,不计,Titan007快照
2026-09-06,特鲁瓦 vs 斯特拉斯堡,特鲁瓦2-6斯特拉斯堡,不计,Titan007快照
2026-09-06,埃弗顿 vs 曼彻斯特联,埃弗顿2-2曼彻斯特联,不计,Titan007快照
2026-09-06,法伦斯 vs 查维斯,赛果未匹配待人工核验,不计,missing
2026-09-06,向前流浪者 vs 辛巴体育,向前流浪者0-1辛巴体育,不计,Titan007快照
2026-09-06,松戈 vs 波特洛体育会,松戈0-1波特洛体育会,不计,Titan007快照
2026-09-06,摩加迪沙市 vs 基塔拉体育,赛果未匹配待人工核验,不计,missing
2026-09-06,马哈奇卡拉 vs 罗迪纳莫斯科,马哈奇卡拉2-0罗迪纳莫斯科,不计,Titan007快照
2026-09-06,汉堡 vs 美因茨,汉堡0-5美因茨,不计,Titan007快照
2026-09-06,特里格拉德 vs 侯尼霍斯,特里格拉德2-3侯尼霍斯,不计,Titan007快照
2026-09-06,塞尔纳谢 vs 比伦塞斯,塞尔纳谢1-3比伦塞斯,不计,Titan007快照
2026-09-06,锡卜 vs 苏尔,赛果未匹配待人工核验,不计,missing
2026-09-06,杜布拉瓦 vs 欧帕提亚,赛果未匹配待人工核验,不计,missing
2026-09-06,迪拜胜利 vs 阿治曼,迪拜胜利1-2阿治曼,不计,Titan007快照
2026-09-06,欧登塞 vs 哥本哈根,欧登塞0-5哥本哈根,不计,Titan007快照
2026-09-06,阿特纳斯 vs 蒙得维的亚河床,赛果未匹配待人工核验,不计,missing
2026-09-06,IA阿克拉内斯 vs KR雷克雅未克,IA阿克拉内斯3-1KR雷克雅未克,不计,Titan007快照
2026-09-06,加尔扎拜尔星 vs 韦斯特曼纳埃亚尔,加尔扎拜尔星2-2韦斯特曼纳埃亚尔,不计,Titan007快照
2026-09-06,托尔 vs 哈夫纳夫约杜尔,托尔1-0哈夫纳夫约杜尔,不计,Titan007快照
2026-09-06,维京古尔 vs 弗拉姆,维京古尔2-2弗拉姆,不计,Titan007快照
2026-09-06,阿古雷利 vs 贝雷达比历克,阿古雷利2-1贝雷达比历克,不计,Titan007快照
2026-09-06,杜堡尔 vs 乌利塔哲兹卡兹甘,杜堡尔3-1乌利塔哲兹卡兹甘,不计,Titan007快照
2026-09-06,慕拉斯堡 vs 贝拉迪亚士邦,慕拉斯堡2-2贝拉迪亚士邦,不计,Titan007快照
2026-09-06,卡斯帕萨 vs 阿美德,卡斯帕萨2-2阿美德,不计,Titan007快照
2026-09-06,科鲁姆 vs 埃于普体育,科鲁姆3-0埃于普体育,不计,Titan007快照
2026-09-06,基茨比厄尔 vs 格拉茨AK,基茨比厄尔0-2格拉茨AK,不计,Titan007快照
2026-09-06,隆迪那 vs 欧帕尔利奥,隆迪那1-2欧帕尔利奥,不计,Titan007快照
2026-09-06,科里蒂巴 vs 米拉索,科里蒂巴1-2米拉索,不计,Titan007快照
2026-09-06,路伦士高格 vs 祖克伦,路伦士高格1-1祖克伦,不计,Titan007快照
2026-09-06,利尔斯 vs RFC列日,利尔斯0-0RFC列日,不计,Titan007快照
2026-09-06,科特赖克 vs 瓦勒海姆,科特赖克0-2瓦勒海姆,不计,Titan007快照
2026-09-06,莱昂文体 vs 梅里达AD,莱昂文体1-0梅里达AD,不计,Titan007快照
2026-09-06,瓦德迈丹尼 vs 图斯科,赛果未匹配待人工核验,不计,missing
2026-09-06,皇家奥维耶多 vs 布尔戈斯,皇家奥维耶多0-0布尔戈斯,不计,Titan007快照
2026-09-06,巴伦西亚 vs 巴塞罗那,巴伦西亚0-5巴塞罗那,不计,Titan007快照
2026-09-06,格罗巴斯帕奇 vs 霍芬海姆业馀队,格罗巴斯帕奇1-0霍芬海姆业馀队,不计,Titan007快照
2026-09-06,布洛马波卡纳 vs 埃尔夫斯堡,布洛马波卡纳2-1埃尔夫斯堡,不计,Titan007快照
2026-09-06,巴塞尔 vs 卢加诺,巴塞尔1-3卢加诺,不计,Titan007快照
2026-09-06,锡永 vs 图恩,锡永3-2图恩,不计,Titan007快照
2026-09-06,雷克斯欧斯 vs 阿马兰迪,雷克斯欧斯3-1阿马兰迪,不计,Titan007快照
2026-09-06,圣克拉拉 vs 里奥阿维,圣克拉拉4-0里奥阿维,不计,Titan007快照
2026-09-06,马斯特里赫特 vs 罗达JC,马斯特里赫特1-1罗达JC,不计,Titan007快照
2026-09-06,海牙 vs 福图纳锡塔德,海牙2-3福图纳锡塔德,不计,Titan007快照
2026-09-06,杜纳伊夫齐 vs 切尔诺夫策,杜纳伊夫齐0-0切尔诺夫策,不计,Titan007快照
2026-09-06,古斯图西加 vs 萨格勒布迪那摩B队,赛果未匹配待人工核验,不计,missing
2026-09-06,奥利简特 vs 泽米阿弗希,赛果未匹配待人工核验,不计,missing
2026-09-06,比耶洛波布尔多 vs 乔登普罗克,赛果未匹配待人工核验,不计,missing
2026-09-06,鲁达士 vs 斯普利特海杜克,鲁达士0-4斯普利特海杜克,不计,Titan007快照
2026-09-06,前进斯太尔 vs 哈特堡格,前进斯太尔0-4哈特堡格,不计,Titan007快照
2026-09-06,圣珀尔滕 vs 萨尔茨堡,圣珀尔滕0-3萨尔茨堡,不计,Titan007快照
